director_name,genres,actor_1_name,actor_2_name,actor_3_name,movie_title,language
James Cameron,Action Adventure Fantasy Sci-Fi,CCH Pounder,Joel David Moore,Wes Studi,avatar,English
Gore Verbinski,Action Adventure Fantasy,Johnny Depp,Orlando Bloom,Jack Davenport,pirates of the caribbean: at world's end,English
Sam Mendes,Action Adventure Thriller,Christoph Waltz,Rory Kinnear,Stephanie Sigman,spectre,English
Christopher Nolan,Action Thriller,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,the dark knight rises,English
Doug Walker,Documentary,Doug Walker,Rob Walker,unknown,star wars: episode vii - the force awakens            ,unknown
Andrew Stanton,Action Adventure Sci-Fi,Daryl Sabara,Samantha Morton,Polly Walker,john carter,English
Sam Raimi,Action Adventure Romance,J.K. Simmons,James Franco,Kirsten Dunst,spider-man 3,English
Nathan Greno,Adventure Animation Comedy Family Fantasy Musical Romance,Brad Garrett,Donna Murphy,M.C. Gainey,tangled,English
Joss Whedon,Action Adventure Sci-Fi,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,avengers: age of ultron,English
David Yates,Adventure Family Fantasy Mystery,Alan Rickman,Daniel Radcliffe,Rupert Grint,harry potter and the half-blood prince,English
Zack Snyder,Action Adventure Sci-Fi,Henry Cavill,Lauren Cohan,Alan D. Purwin,batman v superman: dawn of justice,English
Bryan Singer,Action Adventure Sci-Fi,Kevin Spacey,Marlon Brando,Frank Langella,superman returns,English
Marc Forster,Action Adventure,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,quantum of solace,English
Gore Verbinski,Action Adventure Fantasy,Johnny Depp,Orlando Bloom,Jack Davenport,pirates of the caribbean: dead man's chest,English
Gore Verbinski,Action Adventure Western,Johnny Depp,Ruth Wilson,Tom Wilkinson,the lone ranger,English
Zack Snyder,Action Adventure Fantasy Sci-Fi,Henry Cavill,Christopher Meloni,Harry Lennix,man of steel,English
Andrew Adamson,Action Adventure Family Fantasy,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,the chronicles of narnia: prince caspian,English
Joss Whedon,Action Adventure Sci-Fi,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,the avengers,English
