director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Adam Robitel,Lin Shaye,Lin Shaye,Lin Shaye,Horror Mystery Thriller,Insidious: The Last Key
Lauren Wolkstein,Alex Pettyfer,Alex Pettyfer,Alex Pettyfer,Thriller Drama,The Strange Ones
Simon West,Dominic Cooper,Dominic Cooper,Dominic Cooper,Action Thriller,Stratton
Warwick Thornton,Bryan Brown,Bryan Brown,,Drama History Western,Sweet Country
Jaume Collet-Serra,Liam Neeson,Liam Neeson,Liam Neeson,Action Thriller,The Commuter
Babak Najafi,Taraji P. Henson,Taraji P. Henson,Taraji P. Henson,Thriller Action Crime,Proud Mary
Brett Donowho,Bruce Willis,Bruce Willis,Bruce Willis,Action,Acts of Violence
Trudie Styler,Alex Lawther,Alex Lawther,Alex Lawther,Comedy Drama,Freak Show
Sam Hoffman,Jemaine Clement,Jemaine Clement,Jemaine Clement,Comedy,Humor Me
Daniela Thomas,Adriano Carvalho,Adriano Carvalho,,Drama,Vazante
Hiromasa Yonebayashi,Ruby Barnhill,Ruby Barnhill,Ruby Barnhill,Fantasy Adventure Animation,Mary and the Witch's Flower
Nicolai Fuglsig,Chris Hemsworth,Chris Hemsworth,Chris Hemsworth,Drama Action History War,12 Strong
Christian Gudegast,Gerard Butler,Gerard Butler,Gerard Butler,Action Thriller Crime,Den of Thieves
Bethany Ashton Wolf,Alex Roe,Alex Roe,Alex Roe,Romance Drama Music,Forever My Girl
Wes Ball,Dylan O'Brien,Dylan O'Brien,Dylan O'Brien,Action Science Fiction,Maze Runner: The Death Cure
Ziad Doueiri,Adel Karam,Adel Karam,Adel Karam,Comedy Crime,The Insult
Ben Lewin,Dakota Fanning,Dakota Fanning,Dakota Fanning,Comedy Drama,Please Stand By
The Spierig Brothers,Helen Mirren,Helen Mirren,Helen Mirren,Fantasy Mystery Thriller Horror,Winchester
Sebastián Lelio,Daniela Vega,Daniela Vega,,Drama,A Fantastic Woman
Mario Van Peebles,Mario Van Peebles,Mario Van Peebles,Mario Van Peebles,Action Horror Thriller,Armed
Julius Onah,Daniel Brühl,Daniel Brühl,Daniel Brühl,Mystery Thriller Horror Science Fiction,The Cloverfield Paradox
Will Gluck,James Corden,James Corden,James Corden,Animation Adventure Family,Peter Rabbit
James Foley,Dakota Johnson,Dakota Johnson,Dakota Johnson,Drama Romance,Fifty Shades Freed
Clint Eastwood,Anthony Sadler,Anthony Sadler,Anthony Sadler,Drama History Thriller,The 15:17 to Paris
Marco Polo Constandse,Marco Polo Constandse (director); Omar Chaparro,Marco Polo Constandse (director); Omar Chaparro,Marco Polo Constandse (director); Omar Chaparro,Comedy,La Boda de Valentina
Surendra Poudel,Anmol K.C.,Anmol K.C.,Anmol K.C.,,Kri
Brian Crano,Rebecca Hall,Rebecca Hall,Rebecca Hall,Comedy Romance Drama,Permission
Holger Tappe,Emily Watson,Emily Watson,Emily Watson,,Monster Family
